player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"cito",ug0-CrzeER,2024-02-17T04:36:58.539Z,,2000,,4990,2990
"Ross",Vmds9SSb1E,2024-02-17T04:15:09.321Z,2024-02-17T04:54:09.926Z,1000,1771,0,771
"Ross",Vmds9SSb1E,2024-02-17T04:06:25.677Z,2024-02-17T04:12:21.863Z,1000,0,0,-1000
"Koong",LjDLBlFGfM,2024-02-17T03:49:14.515Z,,2000,,2587,587
"cito",ug0-CrzeER,2024-02-17T03:41:01.688Z,2024-02-17T04:36:09.468Z,2000,0,0,-2000
"Koong",LjDLBlFGfM,2024-02-17T03:34:44.128Z,2024-02-17T03:48:39.662Z,1000,0,0,-1000
"Muu",wz04g67XLY,2024-02-17T03:34:44.124Z,2024-02-17T03:50:07.892Z,1000,0,0,-1000
"Koong",LjDLBlFGfM,2024-02-17T03:32:52.195Z,2024-02-17T03:33:56.235Z,1000,0,0,-1000
"Koong",LjDLBlFGfM,2024-02-17T03:31:27.523Z,2024-02-17T03:32:18.689Z,1000,0,0,-1000
"Chong",Z9Ptp2nZKV,2024-02-17T03:27:06.049Z,,1000,,3533,2533
"Muu",wz04g67XLY,2024-02-17T03:26:04.243Z,2024-02-17T03:32:52.192Z,1000,0,0,-1000
"Chun",71fYCRe9J3,2024-02-17T03:21:32.948Z,,8000,,5162,-2838
"ODgoofyahhh",NYWmbeAr2J,2024-02-17T03:21:32.950Z,2024-02-17T04:18:26.392Z,1000,5957,0,4957
"Koong",LjDLBlFGfM,2024-02-17T03:21:32.943Z,2024-02-17T03:30:40.746Z,1000,0,0,-1000
