player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Koong",L-JgGhAHRd,2024-03-02T21:46:52.580Z,,2000,,4511,2511
"Koong",L-JgGhAHRd,2024-03-02T21:23:09.517Z,2024-03-02T21:46:18.190Z,4000,0,0,-4000
"noah",zdVhbI3D5i,2024-03-02T21:17:35.087Z,,4000,,4244,244
"Koong",64zldExd3u,2024-03-02T21:06:53.049Z,2024-03-02T21:16:19.134Z,1000,0,0,-1000
"ODgoofyahhh",NYWmbeAr2J,2024-03-02T20:43:13.965Z,,1000,,1905,905
"ODgoofyahhh",NYWmbeAr2J,2024-03-02T20:35:43.784Z,2024-03-02T20:42:37.847Z,1000,0,0,-1000
"Chun",71fYCRe9J3,2024-03-02T20:11:44.796Z,,5400,,8968,3568
"Chong",-HxDqwL99V,2024-03-02T19:32:10.196Z,2024-03-02T21:27:19.462Z,1000,3932,0,2932
"Koong",64zldExd3u,2024-03-02T19:28:57.568Z,2024-03-02T21:06:30.412Z,1000,0,0,-1000
"Koong",64zldExd3u,2024-03-02T19:13:37.353Z,2024-03-02T19:28:15.466Z,1000,0,0,-1000
"Chun",71fYCRe9J3,2024-03-02T19:09:36.311Z,2024-03-02T20:11:01.952Z,1000,0,0,-1000
"Koong",64zldExd3u,2024-03-02T18:51:17.954Z,2024-03-02T19:13:14.002Z,1000,0,0,-1000
"Koong",64zldExd3u,2024-03-02T18:43:58.930Z,2024-03-02T18:50:47.014Z,1000,0,0,-1000
"Muuu",wz04g67XLY,2024-03-02T18:42:23.805Z,,4000,,3553,-447
"Koong",64zldExd3u,2024-03-02T18:40:15.607Z,2024-03-02T18:43:15.223Z,1000,0,0,-1000
"cito",ug0-CrzeER,2024-03-02T18:40:15.609Z,,4000,,7287,3287
"Chun",71fYCRe9J3,2024-03-02T18:40:15.612Z,2024-03-02T19:09:10.847Z,1000,0,0,-1000
